index,pm10,so2,co,o3,no2,categori
15,51,23,8,20,16,SEDANG
16,47,22,11,24,24,SEDANG
17,40,24,10,23,26,SEDANG
18,52,23,17,19,36,SEDANG
19,57,24,12,23,27,SEDANG
20,52,24,15,22,34,SEDANG
21,56,22,16,28,36,SEDANG
22,60,24,21,27,37,SEDANG
23,74,22,20,23,38,TIDAK SEHAT
24,44,23,15,23,35,SEDANG
25,56,27,11,21,24,SEDANG
26,51,27,8,16,20,SEDANG
27,54,29,12,16,24,SEDANG
28,56,23,14,17,32,SEDANG
29,47,24,16,18,29,SEDANG
30,55,21,15,19,33,SEDANG
31,62,51,10,57,14,SEDANG
33,59,50,9,51,11,SEDANG
34,68,54,12,39,17,SEDANG
35,64,53,14,45,20,SEDANG
36,57,53,13,66,21,SEDANG
37,67,61,20,46,33,SEDANG
38,60,53,11,54,17,SEDANG
39,46,46,9,61,7,SEDANG
40,55,51,10,58,8,SEDANG
41,69,50,11,57,12,SEDANG
42,67,52,10,63,8,SEDANG
43,81,49,13,48,9,TIDAK SEHAT
48,41,48,8,49,10,SEDANG
49,56,52,13,55,21,SEDANG
50,66,53,12,56,17,SEDANG
51,60,58,13,65,21,SEDANG
52,64,62,15,66,28,SEDANG
53,73,64,18,57,34,SEDANG
54,86,74,19,72,30,TIDAK SEHAT
55,56,52,12,66,19,SEDANG
56,62,52,12,64,20,SEDANG
57,60,52,10,62,13,SEDANG
58,66,53,11,63,16,SEDANG
59,60,46,13,66,21,SEDANG
60,53,55,17,51,28,SEDANG
61,62,49,14,71,20,SEDANG
64,55,12,9,25,16,SEDANG
66,61,23,13,35,20,TIDAK SEHAT
67,39,20,9,60,15,SEDANG
68,39,19,15,151,20,TIDAK SEHAT
69,50,20,8,71,15,SEDANG
70,35,17,6,47,13,SEDANG
71,46,22,8,66,13,SEDANG
82,49,47,8,26,14,SEDANG
83,53,45,10,25,15,SEDANG
84,60,49,12,31,19,SEDANG
86,51,45,7,27,13,SEDANG
87,58,47,8,29,16,SEDANG
88,51,51,5,23,11,SEDANG
90,58,45,8,19,16,SEDANG
96,74,41,15,17,13,TIDAK SEHAT
97,73,38,20,21,21,TIDAK SEHAT
98,54,37,7,27,16,SEDANG
99,51,38,22,25,20,SEDANG
100,56,39,9,29,15,SEDANG
101,46,37,6,31,11,SEDANG
102,42,37,7,31,12,SEDANG
103,65,38,8,31,11,TIDAK SEHAT
104,67,37,9,27,11,TIDAK SEHAT
105,75,36,13,24,13,TIDAK SEHAT
106,51,38,3,27,8,SEDANG
109,49,37,4,28,17,SEDANG
111,61,39,10,25,23,SEDANG
112,60,36,9,29,19,TIDAK SEHAT
113,55,37,9,27,20,SEDANG
115,64,43,31,30,26,TIDAK SEHAT
116,72,57,26,33,24,TIDAK SEHAT
117,42,49,7,37,22,SEDANG
118,55,38,9,28,20,SEDANG
119,50,41,6,26,18,SEDANG
120,56,40,11,26,20,SEDANG
121,57,40,10,29,26,SEDANG
122,47,41,15,26,23,SEDANG
123,59,41,9,37,24,SEDANG
124,47,22,9,27,15,SEDANG
125,41,29,7,23,11,SEDANG
126,42,34,7,25,12,SEDANG
127,50,40,10,19,24,SEDANG
128,54,25,14,21,25,SEDANG
129,37,19,11,29,20,SEDANG
130,50,21,20,31,32,SEDANG
131,43,21,8,30,14,SEDANG
132,33,17,6,38,6,SEDANG
133,40,23,8,38,8,SEDANG
134,53,29,9,38,13,SEDANG
135,50,27,8,36,10,SEDANG
138,51,24,10,25,13,SEDANG
139,39,23,8,28,8,SEDANG
140,45,22,10,29,13,SEDANG
141,30,24,7,39,12,SEDANG
142,51,22,15,26,24,SEDANG
143,51,26,8,28,16,SEDANG
144,50,25,13,26,24,SEDANG
145,52,21,14,30,21,SEDANG
146,63,24,23,27,40,TIDAK SEHAT
147,64,25,17,30,25,TIDAK SEHAT
148,44,24,9,30,22,SEDANG
149,48,34,7,24,17,SEDANG
150,34,32,5,20,11,SEDANG
151,49,37,8,20,19,SEDANG
152,54,37,11,19,29,SEDANG
153,46,24,15,18,29,SEDANG
154,52,21,11,27,18,SEDANG
0,73,50,18,64,35,TIDAK SEHAT
1,68,54,20,76,38,SEDANG
2,68,57,20,61,41,SEDANG
3,66,48,13,76,30,SEDANG
4,64,51,20,65,38,SEDANG
5,63,50,15,72,32,SEDANG
6,61,52,15,68,31,SEDANG
7,70,53,16,72,38,TIDAK SEHAT
8,68,54,14,67,34,TIDAK SEHAT
9,71,56,23,48,47,TIDAK SEHAT
10,65,51,15,61,40,SEDANG
11,67,54,17,57,35,SEDANG
12,55,52,14,58,25,SEDANG
13,69,53,13,58,26,TIDAK SEHAT
14,73,52,13,44,29,TIDAK SEHAT
